PROJECT_NUMBER,PROJECT_EN,DEVELOPER_NUMBER,DEVELOPER_EN,START_DATE,END_DATE,ADOPTION_DATE,PRJ_TYPE_EN,PROJECT_VALUE,ESCROW_ACCOUNT_NUMBER,PROJECT_STATUS,PERCENT_COMPLETED,INSPECTION_DATE,COMPLETION_DATE,DESCRIPTION_EN,AREA_EN,ZONE_EN,CNT_LAND,CNT_BUILDING,CNT_VILLA,CNT_UNIT,MASTER_PROJECT_EN
"3189","Verdes by Haven 2","1658","AURORA SPV 1 L.L.C","2026-01-01 00:00:00","2028-06-30 00:00:00","2024-09-10 15:28:19","Normal","65143300","4031225788862016","ACTIVE","15.25","2026-07-08 10:58:05","","the project contain
Building number 7 - G +4 + R, with total number of 59 residential units

Residential units 59
Commercial units 0","Wadi Al Safa 5","Dubai Development Authority (DDA)","0","0","0","59",""
"3273","Sea Mirror Residences","1371","LAMAR DEVELOPMENT L.L.C","2026-03-16 00:00:00","2027-12-05 00:00:00","","Normal","320000000","","PENDING","6.86","2026-07-22 12:18:17","","3B+G+M+6+Roof (2 Towers)","Jumeirah Second","","0","0","0","19",""
"3403","INTERSTELLAR TOWER","1742","BOUJEE REAL ESTATE DEVELOPMENT L.L.C","2026-02-28 00:00:00","2028-09-30 00:00:00","2025-12-22 15:16:56","Normal","82000000","01434279264","ACTIVE","0.02","2026-07-01 12:11:00","","G+5P+24+R RESIDENTIAL, COMMERCIAL AND RETAIL BUILDING","Al Barsha South Fifth","Trakhees","0","0","0","341",""
"3420","Mayfair Nexus by Seven Mayfair","1925","SEVEN MAYFAIR REAL ESTATE DEVELOPMENT L.L.C","2026-01-01 00:00:00","2028-12-31 00:00:00","2025-09-10 16:23:15","Normal","241033665","13713344920002","ACTIVE","0.64","2026-03-12 16:25:13","","Project consists of 9 connected buildings; each building consists of a Basement + Retail on Ground Floor + 4 Residential Floors + Roof.The project designed to have a concrete structure and block with internal and external finishes.","Wadi Al Safa 7","Dubai Development Authority (DDA)","0","0","0","473",""
"3441","One By Preston","2004","PRESTON PROPERTIES L.L.C","2026-06-15 00:00:00","2027-12-31 00:00:00","2026-06-24 12:47:28","Normal","20000000","012181286324","ACTIVE","0","2024-11-28 19:37:47","","Residential Building (G+4+Roof)
","Madinat Al Mataar","","0","0","0","56",""
"3575","KYOMI RESIDENCE","1455","ANAX DEVELOPMENTS L.L.C","2026-07-31 00:00:00","2028-01-01 00:00:00","2026-06-29 16:13:07","Normal","45000000","200961295","ACTIVE","0","2025-12-17 17:58:53","","Residential Building (G+1P+6)","Warsan Fourth","Trakhees","0","0","0","121",""
"3592","Symphony by Chaimaa","1166","DEVAL REAL ESTATE DEVELOPMENT L.L.C","2026-02-01 00:00:00","2027-08-31 00:00:00","2026-02-17 11:52:25","Normal","40742100","10489852820012","ACTIVE","0","2026-08-11 12:01:01","","PROPOSED RESIDENTIAL WITH RETAILB2 LOW LEVEL+B2 HIGH LEVEL
+B1+G+8+TECHNICAL+H.CLUB FLOOR
","Wadi Al Safa 3","Dubai Development Authority (DDA)","0","0","0","71",""
"3679","Confident Preston","2295","CASA PRESTON REAL ESTATE L.L.C","2026-01-14 00:00:00","2028-04-14 00:00:00","","Normal","23482480","","PENDING","0","2025-05-08 18:39:04","","The building consists of G+9 floors and includes comprehensive residential services, in addition to rooftop facilities.","Wadi Al Safa 2","","0","0","0","99",""
"3691","Trump Tower","2305","DAR GLOBAL LUXURY PROPERTY DEVELOPMENT L.L.C S.O.C","2026-01-15 00:00:00","2031-12-31 00:00:00","2025-04-29 10:33:51","Normal","300000000","0205879614802","ACTIVE","2.03","2026-04-09 16:59:36","","The project is located on Sheikh Zayed Road and will include branded residential apartments, a pool and gymnasium, backside multistorey parking on a different plot, and various amenities such as SPA, and F&Bs. 
The project is described as G+79 and will consist of a total of 572 units.","Trade Center First","Dubai Municipality","0","0","0","574",""
"3732","Waada - Cascada 2","2254","BT PROPERTIES DWC LLC","2026-03-18 00:00:00","2029-03-17 00:00:00","2025-12-10 12:07:11","Normal","172786300","1001468010000005","ACTIVE","0","2026-08-12 13:35:42","","G+16 Floor","Madinat Al Mataar","Dubai South","0","0","0","249",""
